package	version	architecture	filename	sha256
binutils	2.28-5	amd64	binutils_2.28-5_amd64.deb	b86a5bf3ff150ef74c1a452564c6480a8f81f3f27376b121a76783dc5e59d352
binutils-aarch64-linux-gnu	2.28-5	amd64	binutils-aarch64-linux-gnu_2.28-5_amd64.deb	4d04929f516e8140034ad2e73c470b5220609f48b03a9f65f65c4590c5a639bf
cpp-6-aarch64-linux-gnu	6.3.0-18cross1	amd64	cpp-6-aarch64-linux-gnu_6.3.0-18cross1_amd64.deb	fa573c7899c0b403479a424c3fc5217a50386184e3ab0d8512d0bef4b76cb77d
gcc-6-aarch64-linux-gnu	6.3.0-18cross1	amd64	gcc-6-aarch64-linux-gnu_6.3.0-18cross1_amd64.deb	b7b3b0605b86f795f0a10d197fbfe161a281d1b081eb73c38d331c7db6b5f9dc
gcc-6-aarch64-linux-gnu-base	6.3.0-18cross1	amd64	gcc-6-aarch64-linux-gnu-base_6.3.0-18cross1_amd64.deb	7d41a38b6ae6c1aa9550df865e7f70eb7af40eb9d0278e104a5e77205f5fd3f6
gcc-6-base	6.3.0-18	amd64	gcc-6-base_6.3.0-18_amd64.deb	0d1368e23571a483fd4eb660a2180e5ee9f3fd792886adb1abf9fdce3fafe1a3
gcc-6-cross-base	6.3.0-18cross1	all	gcc-6-cross-base_6.3.0-18cross1_all.deb	951a53947822bfa8c66e0783118dbf6650cc87bf1e3b0f90b9959b2343cfee74
libasan3-arm64-cross	6.3.0-18cross1	all	libasan3-arm64-cross_6.3.0-18cross1_all.deb	dd2329d0660a33ffd9e01597fac4d36d5a5fd1657677a60384469c6bee428510
libatomic1-arm64-cross	6.3.0-18cross1	all	libatomic1-arm64-cross_6.3.0-18cross1_all.deb	a0638e20c17856ce69692b122e8d0228a29a5abd3ec9925fef85fc7972c9aa21
libbz2-1.0	1.0.6-8.1	amd64	libbz2-1.0_1.0.6-8.1_amd64.deb	05b985f0eb5b88e0c2767b6cb1c132b5b22f8ff7b515eb36690205e2193197c9
